Target,Group,Ring,Channel
thermal,1,3,1
thermal,1,135,1
CH1_01,2,5,1
CH1_01,2,6,1
CH1_01,2,7,1
CH1_01,2,8,1
CH2_01,3,9,2
CH2_01,3,10,2
CH2_01,3,11,2
CH2_01,3,12,2
CH1_02,4,13,1
CH1_02,4,14,1
CH1_02,4,15,1
CH1_02,4,16,1
CH2_02,5,17,2
CH2_02,5,18,2
CH2_02,5,19,2
CH2_02,5,20,2
CH1_03,6,21,1
CH1_03,6,22,1
CH1_03,6,23,1
CH1_03,6,24,1
CH2_03,7,25,2
CH2_03,7,26,2
CH2_03,7,27,2
CH2_03,7,28,2
CH1_04,8,29,1
CH1_04,8,30,1
CH1_04,8,31,1
CH1_04,8,32,1
CH2_04,9,33,2
CH2_04,9,34,2
CH2_04,9,35,2
CH2_04,9,36,2
CH1_05,10,37,1
CH1_05,10,38,1
CH1_05,10,39,1
CH1_05,10,40,1
CH2_05,11,41,2
CH2_05,11,42,2
CH2_05,11,43,2
CH2_05,11,44,2
CH1_06,12,45,1
CH1_06,12,46,1
CH1_06,12,47,1
CH1_06,12,48,1
CH2_06,13,49,2
CH2_06,13,50,2
CH2_06,13,51,2
CH2_06,13,52,2
CH1_07,14,53,1
CH1_07,14,54,1
CH1_07,14,55,1
CH1_07,14,56,1
CH2_07,15,57,2
CH2_07,15,58,2
CH2_07,15,59,2
CH2_07,15,60,2
CH1_08,16,61,1
CH1_08,16,62,1
CH1_08,16,63,1
CH1_08,16,64,1
CH2_08,17,65,2
CH2_08,17,66,2
CH2_08,17,67,2
CH2_08,17,68,2
CH1_09,18,69,1
CH1_09,18,70,1
CH1_09,18,71,1
CH1_09,18,72,1
CH2_09,19,73,2
CH2_09,19,74,2
CH2_09,19,75,2
CH2_09,19,76,2
CH1_10,20,77,1
CH1_10,20,78,1
CH1_10,20,79,1
CH1_10,20,80,1
CH2_10,21,81,2
CH2_10,21,82,2
CH2_10,21,83,2
CH2_10,21,84,2
CH1_11,22,85,1
CH1_11,22,86,1
CH1_11,22,87,1
CH1_11,22,88,1
CH2_11,23,89,2
CH2_11,23,90,2
CH2_11,23,91,2
CH2_11,23,92,2
CH1_12,24,93,1
CH1_12,24,94,1
CH1_12,24,95,1
CH1_12,24,96,1
CH2_12,25,97,2
CH2_12,25,98,2
CH2_12,25,99,2
CH2_12,25,100,2
CH1_13,26,101,1
CH1_13,26,102,1
CH1_13,26,103,1
CH1_13,26,104,1
CH2_13,27,105,2
CH2_13,27,106,2
CH2_13,27,107,2
CH2_13,27,108,2
CH1_14,28,109,1
CH1_14,28,110,1
CH1_14,28,111,1
CH1_14,28,112,1
CH2_14,29,113,2
CH2_14,29,114,2
CH2_14,29,115,2
CH2_14,29,116,2
CH1_15,30,117,1
CH1_15,30,118,1
CH1_15,30,119,1
CH1_15,30,120,1
CH2_15,31,121,2
CH2_15,31,122,2
CH2_15,31,123,2
CH2_15,31,124,2
CH1_16,32,125,1
CH1_16,32,126,1
CH1_16,32,127,1
CH1_16,32,128,1
CH2_16,33,129,2
CH2_16,33,130,2
CH2_16,33,131,2
CH2_16,33,132,2
thermal,34,4,2
thermal,34,136,2
